flow_id,3-tuple,down_min_len,up_slice_max,down_slice_max,top_10_bytes_ratio,down_pkt_standard_deviation,min_interval,down_slice_std,sport,dport,up_slice_std,up_slice_mean,down_bytes,bytes_ratio,flow_byte/s_raito,down_slice_mean,up_interval_std,up_bytes,sum_bytes,top_10_byte/s,min_len,pkt_ratio,flow_pkt/s_raito,down_byte/s,pkt_standard_deviation,flow_byte/s,down_max_interval,up_max_interval,up_pkt_standard_deviation,down_pkt/s,up_byte/s,up_pkt/s,top_10_time_min_interval,flow_pkt/s,down_interval_std,top_10_pkt_std,up_pkt_mean,up_max_len,max_len,up_slice_min,up_pkt_nums,tag,real_tag
10.9.130.109_58.240.57.33_49664_53_17_1688440155.395077,58.240.57.33_53_17,349,2,1,0.0,0.0,1.3113021850585938e-05,0.0,49664,53,0.0,2.0,349,0.556,0.556,1.0,0.0,194,543,0.0,97,2.0,2.0,174500.0,118.794,271500.0,0.0,0.0,0.0,500.0,97000.0,1000.0,1.3113021850585938e-05,1500.0,0.0,0.0,97.0,97,349,2,2,0,0
10.9.130.109_221.6.4.66_49664_53_17_1688439988.978313,221.6.4.66_53_17,85,2,1,0.924,83.825,5.960464477539063e-06,0.0,49664,53,0.2865793094717131,1.9097222222222223,25984,0.907,0.907,1.0,1.7264660388115878,23577,49561,5362.069,68,1.91,1.91,217.091,67.336,414.071,17.50056,17.500623,12.092,1.203,196.981,2.298,1.0013580322265623e-05,3.501,2.314477464954127,25.87682360723588,85.73454545454545,128,451,1,275,0,0
10.9.130.109_221.6.4.66_49755_53_17_1688440120.141707,221.6.4.66_53_17,83,2,1,1.075,66.612,5.960464477539063e-06,0.0,49755,53,0.3691746015438963,1.837209302325581,6234,1.044,1.044,1.0,1.531082807596006,6508,12742,2406.114,69,1.837,1.838,173.027,50.306,353.66,11.890477,11.890026,10.577,1.193,180.632,2.193,5.960464477539063e-06,3.386,1.989780338123835,60.629695694436734,82.37974683544304,118,376,1,79,0,0
10.9.130.109_221.6.4.66_50786_53_17_1688440475.951715,221.6.4.66_53_17,94,2,1,1.726,96.446,5.960464477539063e-06,0.0,50786,53,0.2456701001891583,1.935483870967742,5349,0.962,0.962,1.0,4.9014285292737085,5147,10496,128.857,70,1.935,1.937,63.064,70.49,123.747,35.260614,35.260201,12.862,0.365,60.683,0.707,9.059906005859377e-06,1.073,6.525995192369379,14.691494137765568,85.78333333333333,127,547,1,60,0,0
10.9.130.109_221.6.4.66_54001_53_17_1688440475.951842,221.6.4.66_53_17,94,2,1,1.533,87.07,6.9141387939453125e-06,0.0,54001,53,0.2914805954090255,1.90625,5486,0.956,0.956,1.0,4.314548257463963,5246,10732,152.815,70,1.906,1.907,64.677,66.363,126.525,26.229114,26.229148,15.022,0.377,61.848,0.719,1.0967254638671877e-05,1.096,5.642603686851119,21.81650751151522,86.0,128,541,1,61,0,0
10.9.130.109_221.6.4.66_55956_53_17_1688440190.477148,221.6.4.66_53_17,77,2,1,1.12,61.604,6.9141387939453125e-06,0.0,55956,53,0.2479137326502206,1.9342105263157887,23002,1.04,1.04,1.0,1.235946009996597,23933,46935,2297.694,67,1.934,1.934,192.813,49.438,393.43,11.783931,11.783696,8.906,1.274,200.617,2.464,1.0013580322265623e-05,3.739,1.6286759184672772,54.45401729900192,81.4047619047619,110,428,1,294,0,0
10.9.130.109_221.6.4.66_57023_53_17_1688439988.978313,221.6.4.66_53_17,86,2,1,0.863,76.207,6.9141387939453125e-06,0.0,57023,53,0.25420840580171,1.930555555555556,25213,0.947,0.947,1.0,1.4956350958262823,23870,49083,5906.433,67,1.931,1.931,210.653,62.176,410.084,11.157514,11.15736,11.977,1.203,199.432,2.323,1.5974044799804688e-05,3.526,1.9950287235068915,34.064644427910885,85.86330935251799,128,421,1,278,0,0
10.9.130.117_10.80.128.28_49664_53_17_1697631616.854032,10.80.128.28_53_17,84,2,1,1.449,77.953,5.960464477539063e-06,0.0,49664,53,0.2438458967577335,1.9365079365079363,10673,0.949,0.949,1.0,8.908273395755225,10130,20803,21519.231,68,1.937,1.935,89.047,61.665,173.564,97.977135,97.975748,9.347,0.526,84.517,1.018,5.960464477539063e-06,1.543,12.320437090928714,28.73134177166113,83.0327868852459,114,372,1,122,0,0
10.9.130.117_10.80.128.28_50712_53_17_1697631620.233887,10.80.128.28_53_17,76,2,1,1.094,73.506,5.960464477539063e-06,0.0,50712,53,0.1507148999629735,1.976744186046512,6556,1.044,1.044,1.0,0.5664513727562113,6843,13399,970.082,71,1.977,1.977,317.99,54.69,649.901,2.85628,2.85883,5.591,2.086,331.911,4.123,7.152557373046875e-06,6.208,0.7181153022705051,46.92760381694339,80.50588235294117,94,421,1,85,0,0
10.9.130.117_10.80.128.28_50870_53_17_1697631860.550645,10.80.128.28_53_17,83,2,1,1.233,59.802,5.960464477539063e-06,0.0,50870,53,0.1524553389864963,1.9761904761904765,6627,1.044,1.044,1.0,1.4006959043016038,6918,13545,579.773,73,1.976,1.976,232.919,49.848,476.065,11.026293,11.026592,8.413,1.476,243.146,2.917,5.960464477539063e-06,4.393,1.90737757238343,42.23458298598437,83.34939759036145,118,345,1,83,0,0
10.9.130.117_10.80.128.28_50965_53_17_1697631611.878714,10.80.128.28_53_17,86,2,1,0.869,81.657,5.960464477539063e-06,0.0,50965,53,0.203931119992323,1.9565217391304348,4696,0.846,0.846,1.0,0.4419596506283629,3972,8668,675.355,69,1.957,1.956,867.541,73.361,1601.33,2.633354,2.632742,13.439,4.249,733.789,8.313,7.867813110351562e-06,12.562,0.5936334117138653,66.81167562634543,88.26666666666667,107,367,1,45,0,0
10.9.130.117_10.80.128.28_52026_53_17_1697631842.00906,10.80.128.28_53_17,78,2,1,0.619,69.335,6.9141387939453125e-06,0.0,52026,53,0.1600726981657426,1.973684210526316,11816,1.058,1.058,1.0,1.1556835533571066,12498,24314,1451.149,70,1.974,1.974,251.41,53.465,517.33,11.02069,11.020648,10.97,1.617,265.921,3.192,8.821487426757812e-06,4.809,1.5626808934628256,114.27357524817364,83.32,138,449,1,150,0,0
10.9.130.117_10.80.128.28_52113_53_17_1697631707.488627,10.80.128.28_53_17,72,2,1,1.721,81.814,5.0067901611328125e-06,0.0,52113,53,0.2551470164434614,1.93,32309,0.992,0.992,1.0,0.8550386117127838,32058,64367,42045.455,68,1.93,1.93,325.995,61.146,649.457,10.658068,10.658255,10.249,2.018,323.462,3.895,5.960464477539063e-06,5.913,1.1363450430674815,18.35347378563524,83.05181347150258,121,436,1,386,0,0
10.9.130.117_221.6.4.66_52113_53_17_1697631806.586741,221.6.4.66_53_17,347,2,1,0.0,0.0,8.106231689453125e-06,0.0,52113,53,0.0,2.0,347,0.524,0.524,1.0,0.0,182,529,0.0,91,2.0,2.0,10515.152,120.68,16030.303,0.0,0.0,0.0,30.303,5515.152,60.606,8.106231689453125e-06,90.909,0.0,0.0,91.0,91,347,2,2,0,0
10.9.130.117_10.80.128.28_52235_53_17_1697631616.854919,10.80.128.28_53_17,84,2,1,0.78,81.558,7.152557373046875e-06,0.0,52235,53,0.0,2.0,1340,0.978,0.978,1.0,0.4567531839006405,1310,2650,28000.0,68,2.0,2.0,612.711,62.809,1211.706,1.78803,1.787497,12.149,3.658,598.994,7.316,7.152557373046875e-06,10.974,0.6074117649307139,80.57667156193534,81.875,103,311,2,16,0,0
10.9.130.117_10.80.128.28_52358_53_17_1697631611.872652,10.80.128.28_53_17,104,2,1,0.919,82.147,5.960464477539063e-06,0.0,52358,53,0.3307189138830738,1.875,4548,0.847,0.847,1.0,0.4445880919587232,3854,8402,673.361,68,1.875,1.875,840.355,69.827,1552.476,2.611319,2.611307,11.203,4.435,712.121,8.315,6.9141387939453125e-06,12.749,0.5863479769480878,71.63797875428926,85.64444444444445,106,398,1,45,0,0
10.9.130.117_10.80.128.28_53239_53_17_1697631877.227072,10.80.128.28_53_17,95,2,1,1.477,25.598,5.0067901611328125e-06,0.0,53239,53,0.0,2.0,1205,1.328,1.328,1.0,2.514113281439938,1600,2805,25243.243,73,2.0,1.999,98.876,24.459,230.163,11.028143,11.028352,4.796,0.821,131.287,1.641,5.0067901611328125e-06,2.462,3.424184898207065,31.14546515947386,80.0,87,184,2,20,0,0
